p_value,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya
0.76444608,,,,,,,,,,,,,,,,
0.745691906,,,,,,,,,,,,,,,,
0.794778825,,,,,,,,,,,,,,,,
0.79468599,,,,,,,,,,,,,,,,
0.798039216,,,,,,,,,,,,,,,,
0.758750858,,,,,,,,,,,,,,,,
0.777973879,,,,,,,,,,,,,,,,
0.763906315,,,,,,,,,,,,,,,,
0.790604261,,,,,,,,,,,,,,,,
0.762849707,,,,,,,,,,,,,,,,
0.774345303,,,,,,,,,,,,,,,,
0.768976898,,,,,,,,,,,,,,,,
0.715579091,,,,,,,,,,,,,,,,
0.761799558,,,,,,,,,,,,,,,,
0.76048422,,,,,,,,,,,,,,,,
0.785052258,,,,,,,,,,,,,,,,
0.793044793,,,,,,,,,,,,,,,,
0.784526518,,,,,,,,,,,,,,,,
0.789922796,,,,,,,,,,,,,,,,
0.788981068,,,,,,,,,,,,,,,,
0.792539719,,,,,,,,,,,,,,,,
0.807395994,,,,,,,,,,,,,,,,
0.795669073,,,,,,,,,,,,,,,,
0.785840141,,,,,,,,,,,,,,,,
0.791080183,,,,,,,,,,,,,,,,
0.774282645,,,,,,,,,,,,,,,,
0.809433637,,,,,,,,,,,,,,,,
0.773149942,,,,,,,,,,,,,,,,
0.78864476,,,,,,,,,,,,,,,,
0.760022169,,,,,,,,,,,,,,,,
0.792938931,,,,,,,,,,,,,,,,
0.795611285,,,,,,,,,,,,,,,,
0.791502754,,,,,,,,,,,,,,,,
0.78187404,,,,,,,,,,,,,,,,
0.787185826,,,,,,,,,,,,,,,,
0.824155578,,,,,,,,,,,,,,,,
0.780479085,,,,,,,,,,,,,,,,
0.801390096,,,,,,,,,,,,,,,,
0.765625,,,,,,,,,,,,,,,,
0.802944919,,,,,,,,,,,,,,,,
0.783402001,,,,,,,,,,,,,,,,
0.81858929,,,,,,,,,,,,,,,,
0.804257402,,,,,,,,,,,,,,,,
0.773724124,,,,,,,,,,,,,,,,
0.761169333,,,,,,,,,,,,,,,,
0.773510162,,,,,,,,,,,,,,,,
0.733021077,,,,,,,,,,,,,,,,
0.780637255,,,,,,,,,,,,,,,,
0.76244765,,,,,,,,,,,,,,,,
0.750821211,,,,,,,,,,,,,,,,
0.73856999,,,,,,,,,,,,,,,,
0.738047809,,,,,,,,,,,,,,,,
0.723283144,,,,,,,,,,,,,,,,
0.720442863,,,,,,,,,,,,,,,,
0.77669693,,,,,,,,,,,,,,,,
0.757593123,,,,,,,,,,,,,,,,
0.78510274,,,,,,,,,,,,,,,,
0.744691237,,,,,,,,,,,,,,,,
0.756410256,,,,,,,,,,,,,,,,
0.686532145,,,,,,,,,,,,,,,,
0.684548372,,,,,,,,,,,,,,,,
0.699485672,,,,,,,,,,,,,,,,
0.710746461,,,,,,,,,,,,,,,,
0.762456547,,,,,,,,,,,,,,,,
0.707324841,,,,,,,,,,,,,,,,
0.718101733,,,,,,,,,,,,,,,,
0.743304843,,,,,,,,,,,,,,,,
0.746598639,,,,,,,,,,,,,,,,
0.742721519,,,,,,,,,,,,,,,,
0.76349892,,,,,,,,,,,,,,,,
0.784548422,,,,,,,,,,,,,,,,
0.720745599,,,,,,,,,,,,,,,,
0.734998642,,,,,,,,,,,,,,,,
0.728296222,,,,,,,,,,,,,,,,
0.714525609,,,,,,,,,,,,,,,,
